0.001108689 127.0.0.1:6633 127.0.0.1:54689 124 0x4a482c3d 0x4a482bed 10 2147483647 44032 1
0.056180787 10.0.0.1:47070 10.0.0.3:5001 32 0x5961082c 0x5960cf9c 11 2147483647 14848 2
0.056187827 10.0.0.1:47070 10.0.0.3:5001 32 0x59611924 0x5960d544 12 2147483647 17408 2
0.056191041 10.0.0.1:47070 10.0.0.3:5001 32 0x59612474 0x5960daec 13 2147483647 20480 3
0.056193948 10.0.0.1:47070 10.0.0.3:5001 32 0x59612fc4 0x5960e094 14 2147483647 23552 3
0.056197221 10.0.0.1:47070 10.0.0.3:5001 32 0x59613b14 0x5960e63c 15 2147483647 26112 3
0.056199437 10.0.0.1:47070 10.0.0.3:5001 32 0x596140bc 0x5960ebe4 16 2147483647 29184 3
0.056201148 10.0.0.1:47070 10.0.0.3:5001 32 0x596140bc 0x5960f18c 17 2147483647 28672 3
0.056204595 10.0.0.1:47070 10.0.0.3:5001 32 0x596140bc 0x5960f734 18 2147483647 27648 3
0.058927129 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.061028860 10.0.0.1:47070 10.0.0.3:5001 32 0x596162ac 0x59610284 19 2147483647 25600 4
0.061042628 10.0.0.1:47070 10.0.0.3:5001 32 0x596162ac 0x5961082c 20 2147483647 24576 3
0.061483455 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.063340934 10.0.0.2:53726 10.0.0.3:5001 32 0x967a4009 0x967a0779 11 2147483647 14848 5
0.063854060 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.064626991 10.0.0.2:53726 10.0.0.3:5001 32 0x967a5101 0x967a0d21 12 2147483647 17408 5
0.065069591 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.065734164 10.0.0.2:53726 10.0.0.3:5001 32 0x967a5c51 0x967a12c9 13 2147483647 20480 4
0.066274732 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.066920999 10.0.0.2:53726 10.0.0.3:5001 32 0x967a67a1 0x967a1871 14 2147483647 23552 4
0.067491300 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.068141552 10.0.0.2:53726 10.0.0.3:5001 32 0x967a72f1 0x967a1e19 15 2147483647 26112 4
0.068706769 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.069342444 10.0.0.2:53726 10.0.0.3:5001 32 0x967a7899 0x967a23c1 16 2147483647 29184 4
0.069912610 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.070560793 10.0.0.2:53726 10.0.0.3:5001 32 0x967a7899 0x967a2969 17 2147483647 28672 4
0.071124681 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.072596817 10.0.0.2:53726 10.0.0.3:5001 32 0x967a94e1 0x967a2f11 18 2147483647 27648 4
0.072634282 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.073651724 10.0.0.2:53726 10.0.0.3:5001 32 0x967a9a89 0x967a34b9 19 2147483647 26624 4
0.074755132 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.081453055 10.0.0.2:53726 10.0.0.3:5001 32 0x967a9a89 0x967a3a61 20 2147483647 25600 4
0.082023861 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.082700198 10.0.0.2:53726 10.0.0.3:5001 32 0x967a9a89 0x967a4009 21 2147483647 24576 5
